GeoID,Lat,Lon,15_full_lv1,15_full_lv2,15_gs_lv1,15_gs_lv2,15_short_lv1,15_short_lv2,16_full_lv1,16_full_lv2,16_gs_lv1,16_gs_lv2,16_short_lv1,16_short_lv2
1,43.309286,-95.314118,1,1,2,2,2,1,2,3,2,3,2,2
2,43.374881,-93.838566,1,1,2,3,2,1,2,3,2,2,2,2
3,42.830021,-95.234901,1,1,2,3,2,1,2,3,2,3,2,2
4,42.388726,-94.548385,2,3,2,3,2,1,2,3,2,3,2,3
5,41.75099,-96.018202,2,3,2,3,2,2,2,3,2,3,2,2
6,41.960132,-95.775401,2,3,2,3,2,2,2,2,2,3,2,2
7,40.977755,-95.484455,2,2,1,1,1,4,2,3,2,2,1,1
8,41.196362,-94.524601,2,2,1,1,1,4,2,3,2,2,1,1
9,41.620974,-95.220299,2,3,2,3,2,2,2,3,2,2,1,1
10,41.480836,-93.737881,2,2,1,1,1,4,2,3,2,3,2,2
11,42.50809,-92.598933,2,3,2,3,2,2,2,3,2,3,2,2
12,43.195007,-92.950602,1,1,2,3,2,2,1,1,1,1,1,1
13,40.911195,-93.628316,2,2,1,1,1,3,2,2,2,3,2,3
14,41.16928,-92.367963,2,3,2,3,1,4,2,2,2,3,2,3
15,41.034588,-91.385497,2,3,2,3,1,3,2,2,2,3,2,3
16,43.381488,-92.165421,1,1,2,2,2,1,1,1,1,1,1,1
17,42.307069,-92.354188,2,3,2,3,2,2,2,3,2,3,2,2
18,42.662689,-93.994125,2,3,2,3,2,1,2,3,2,3,2,3
19,41.657193,-91.966568,2,3,2,2,2,2,2,3,2,3,2,3
20,42.866282,-92.076646,1,1,2,2,2,1,1,1,1,1,1,1
21,41.621374,-90.826611,2,3,2,2,2,2,2,3,2,2,1,1
